Country	Life expectancy	Logpop	LogBirth	Sqrt.Obese%	Education($%GDP)	LGdp/cap	LogImp/c	LogExp/c	Sqrt.Airp/c	Cell/cap	LogHIV	Birthrate	population	Obesity%	GDP/cap	Imp/cap	Exp/cap	Airp/cap	Imports	Exports	Airports	Cell phones
Israel	81.28	6.8933095	1.2657609	5.1185936	5.6	4.5587086	3.9329597	3.8896645	0.7605969	1.1793885		18.44	7821850	26.2	36200	8569.5839	7756.477	0.57850764	67030000000	60670000000	4525000	9225000
Togo	64.06	6.8663685	1.5380708	2.0736441	4.5	3.0413927	2.3581645	2.1258314	0.22015252	0.47855	0.462398	34.52	7351374	4.3	1100	228.12062	133.60768	0.04846713	1677000000	982200000	356300	3518000
Serbia	75.02	6.857921	0.96047078	4.9799598	4.8	4.045323	3.4546794	3.3067292	0.75474775	1.2674479		9.13	7209764	24.8	11100	2848.9143	2026.4186	0.56964417	20540000000	14610000000	4107000	9138000
Hong Kong	82.78	6.8520338	0.97220284		3.5	4.7218106	4.8644704	4.8073119	0.82771595	2.3061605		9.38	7112688		52700	73193.144	64167.021	0.6851137	520600000000	456400000000	4873000	16403000
Bulgaria	74.33	6.840402	0.95036485	4.8682646	4.1	4.1583625	3.6765298	3.6052022	0.70019484	1.5567425		8.92	6924716	23.7	14400	4748.2092	4029.0461	0.49027281	32880000000	27900000000	3395000	10780000
Laos	63.51	6.8327451	1.3937506	1.6124515	2.8	3.4913617	2.6775318	2.5314305	0.2099849	0.95418683		24.76	6803699	2.6	3100	475.91759	339.96213	0.04409366	3238000000	2313000000	300000	6492000
Paraguay	76.8	6.8263249	1.221675	4.2308392	4.8	3.8325089	3.2660448	3.3409924	0.40599312	1.0128493		16.66	6703860	17.9	6800	1845.2056	2192.7666	0.16483041	12370000000	14700000000	1105000	6790000
Papua New Guinea	66.85	6.8164223	1.3960249	4.0249224		3.462398	2.8451065	2.9153276	0.13811597	0.41341548		24.89	6552730	16.2	2900	700.01358	822.86314	0.01907602	4587000000	5392000000	125000	2709000
Eritrea	63.51	6.8048753	1.4869969	1.2247449	2.1	3.0791812	2.2066951	1.8907814	0.17704242	0.04784664		30.69	6380803	1.5	1200	160.95153	77.764507	0.03134402	1027000000	496200000	200000	305300
Libya	76.04	6.795475	1.2648178	5.2725705		4.0530784	3.6382948	3.7894213	0.23806896	1.5358316		18.4	6244174	27.8	11300	4348.0531	6157.74	0.05667683	27150000000	38450000000	353900	9590000
El Salvador	74.18	6.7871424	1.2250507	5.07937	3.4	3.8750613	3.2141585	2.9214484	0.34897814	1.4121269		16.79	6125512	25.8	7500	1637.4141	834.54248	0.12178574	10030000000	5112000000	746000	8650000
